Sequence_ID	biosample_accession
ASV52	SAMN30974255,SAMN30974291,SAMN30974254,SAMN30974307,SAMN30974273,SAMN30974306,SAMN30974253,SAMN30974292,SAMN30974274,SAMN30974290,SAMN30974251,SAMN30974270,SAMN30974271,SAMN30974272,SAMN30974305
ASV53	SAMN30974255,SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974274,SAMN30974273,SAMN30974291,SAMN30974307,SAMN30974306,SAMN30974272,SAMN30974292,SAMN30974271,SAMN30974305,SAMN30974270,SAMN30974290
ASV55	SAMN30974252,SAMN30974254,SAMN30974253,SAMN30974255,SAMN30974307,SAMN30974251,SAMN30974271,SAMN30974272,SAMN30974291,SAMN30974273,SAMN30974306,SAMN30974290,SAMN30974270,SAMN30974292,SAMN30974274,SAMN30974305
ASV56	SAMN30974255,SAMN30974254,SAMN30974292,SAMN30974273,SAMN30974252,SAMN30974253,SAMN30974274,SAMN30974251,SAMN30974291,SAMN30974271,SAMN30974272,SAMN30974306,SAMN30974270,SAMN30974290,SAMN30974307
ASV57	SAMN30974255,SAMN30974253,SAMN30974254,SAMN30974292,SAMN30974273,SAMN30974251,SAMN30974274,SAMN30974291,SAMN30974307,SAMN30974306
ASV6	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974255,SAMN30974290,SAMN30974306,SAMN30974305,SAMN30974273,SAMN30974291,SAMN30974307,SAMN30974274,SAMN30974292
ASV61	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974272,SAMN30974254,SAMN30974271,SAMN30974255,SAMN30974270,SAMN30974290,SAMN30974291,SAMN30974306,SAMN30974307,SAMN30974305,SAMN30974274,SAMN30974292,SAMN30974273
ASV62	SAMN30974252,SAMN30974255,SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974272,SAMN30974274,SAMN30974290,SAMN30974292,SAMN30974270,SAMN30974271,SAMN30974291,SAMN30974307,SAMN30974273,SAMN30974305
ASV65	SAMN30974305,SAMN30974291,SAMN30974254,SAMN30974306,SAMN30974273,SAMN30974270,SAMN30974292
ASV7	SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974291,SAMN30974253,SAMN30974255,SAMN30974306,SAMN30974273,SAMN30974272,SAMN30974271,SAMN30974274,SAMN30974307,SAMN30974305,SAMN30974290,SAMN30974270,SAMN30974292
ASV70	SAMN30974307,SAMN30974306,SAMN30974251,SAMN30974253,SAMN30974291,SAMN30974290,SAMN30974292
ASV71	SAMN30974255,SAMN30974251,SAMN30974270,SAMN30974274,SAMN30974307
ASV73	SAMN30974255,SAMN30974292,SAMN30974274,SAMN30974307,SAMN30974252,SAMN30974253,SAMN30974291,SAMN30974273,SAMN30974306,SAMN30974271
ASV75	SAMN30974255,SAMN30974254,SAMN30974253,SAMN30974290,SAMN30974272,SAMN30974307,SAMN30974274,SAMN30974292,SAMN30974305,SAMN30974306
ASV76	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974255,SAMN30974291,SAMN30974273,SAMN30974271,SAMN30974272,SAMN30974307,SAMN30974306,SAMN30974290,SAMN30974270,SAMN30974305,SAMN30974274,SAMN30974292
ASV78	SAMN30974253,SAMN30974271,SAMN30974251,SAMN30974270,SAMN30974292,SAMN30974272,SAMN30974306,SAMN30974274
ASV8	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974252,SAMN30974307,SAMN30974292,SAMN30974253,SAMN30974251,SAMN30974306,SAMN30974273,SAMN30974291,SAMN30974290,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974305
ASV80	SAMN30974255,SAMN30974254,SAMN30974253,SAMN30974272,SAMN30974251,SAMN30974292,SAMN30974271,SAMN30974270,SAMN30974307,SAMN30974274,SAMN30974273,SAMN30974306,SAMN30974291,SAMN30974305,SAMN30974290
ASV82	SAMN30974290,SAMN30974307,SAMN30974306,SAMN30974291,SAMN30974292,SAMN30974255,SAMN30974253,SAMN30974271,SAMN30974274,SAMN30974305
ASV84	SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974255,SAMN30974254,SAMN30974290,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974274,SAMN30974307,SAMN30974291
ASV85	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974305,SAMN30974307,SAMN30974271
ASV89	SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974272,SAMN30974271,SAMN30974274,SAMN30974290,SAMN30974254,SAMN30974270,SAMN30974305,SAMN30974273
ASV9	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974290,SAMN30974291,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974306,SAMN30974305,SAMN30974273,SAMN30974254,SAMN30974274,SAMN30974307,SAMN30974292
ASV90	SAMN30974254,SAMN30974274,SAMN30974273,SAMN30974292
ASV92	SAMN30974255,SAMN30974306,SAMN30974254,SAMN30974307,SAMN30974292,SAMN30974274,SAMN30974273
ASV93	SAMN30974255,SAMN30974254,SAMN30974291,SAMN30974307,SAMN30974292,SAMN30974273,SAMN30974274,SAMN30974306,SAMN30974253,SAMN30974251,SAMN30974305
ASV94	SAMN30974255,SAMN30974307,SAMN30974292,SAMN30974291
ASV97	SAMN30974252,SAMN30974251,SAMN30974306,SAMN30974305,SAMN30974290,SAMN30974291,SAMN30974292
ASV98	SAMN30974255,SAMN30974253,SAMN30974254,SAMN30974252,SAMN30974274,SAMN30974251,SAMN30974307,SAMN30974270,SAMN30974290,SAMN30974271,SAMN30974273,SAMN30974272,SAMN30974292,SAMN30974305
ASV99	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974255
