Sequence_ID	biosample_accession
ASV108	SAMN30974306,SAMN30974252,SAMN30974270,SAMN30974271,SAMN30974255,SAMN30974292,SAMN30974290,SAMN30974273,SAMN30974272,SAMN30974307,SAMN30974251,SAMN30974291
ASV1081	SAMN30974272,SAMN30974305,SAMN30974292,SAMN30974306,SAMN30974253,SAMN30974270,SAMN30974307,SAMN30974271,SAMN30974291,SAMN30974252,SAMN30974274,SAMN30974290,SAMN30974251
ASV1083	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974255,SAMN30974270,SAMN30974272,SAMN30974271,SAMN30974274,SAMN30974254,SAMN30974273,SAMN30974305,SAMN30974292,SAMN30974290,SAMN30974291
ASV1084	SAMN30974254,SAMN30974273,SAMN30974255,SAMN30974251,SAMN30974253,SAMN30974307,SAMN30974252,SAMN30974292,SAMN30974270,SAMN30974274,SAMN30974272,SAMN30974291,SAMN30974306,SAMN30974271,SAMN30974305,SAMN30974290
ASV1085	SAMN30974253,SAMN30974272,SAMN30974252,SAMN30974271,SAMN30974307,SAMN30974254,SAMN30974273,SAMN30974255,SAMN30974292,SAMN30974274,SAMN30974306,SAMN30974251,SAMN30974270,SAMN30974305,SAMN30974290
ASV1087	SAMN30974254,SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974273,SAMN30974291,SAMN30974255,SAMN30974306,SAMN30974270,SAMN30974272,SAMN30974292,SAMN30974271,SAMN30974274,SAMN30974290
ASV1090	SAMN30974251,SAMN30974252,SAMN30974254,SAMN30974253,SAMN30974255,SAMN30974270,SAMN30974271,SAMN30974274,SAMN30974272,SAMN30974292,SAMN30974307
ASV1091	SAMN30974255,SAMN30974251,SAMN30974254,SAMN30974253,SAMN30974252,SAMN30974274,SAMN30974273,SAMN30974270,SAMN30974271,SAMN30974307,SAMN30974272,SAMN30974306,SAMN30974292,SAMN30974305,SAMN30974291
ASV1092	SAMN30974307,SAMN30974254,SAMN30974291,SAMN30974273,SAMN30974255,SAMN30974292,SAMN30974251,SAMN30974274,SAMN30974252,SAMN30974306,SAMN30974270
ASV1093	SAMN30974254,SAMN30974306,SAMN30974253,SAMN30974307,SAMN30974273,SAMN30974251,SAMN30974252,SAMN30974255,SAMN30974292,SAMN30974274,SAMN30974291,SAMN30974270,SAMN30974272,SAMN30974271,SAMN30974305
ASV1094	SAMN30974306,SAMN30974291,SAMN30974292,SAMN30974254,SAMN30974307,SAMN30974272,SAMN30974273,SAMN30974274,SAMN30974290
ASV1095	SAMN30974253,SAMN30974254,SAMN30974255,SAMN30974251,SAMN30974252,SAMN30974274,SAMN30974307,SAMN30974271,SAMN30974292
ASV1097	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974255,SAMN30974307
ASV1098	SAMN30974274,SAMN30974255,SAMN30974292,SAMN30974307,SAMN30974251,SAMN30974273,SAMN30974254,SAMN30974291,SAMN30974252,SAMN30974272,SAMN30974270,SAMN30974271,SAMN30974306,SAMN30974290,SAMN30974305
ASV1099	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974271,SAMN30974270,SAMN30974305,SAMN30974272,SAMN30974290
ASV11	SAMN30974273,SAMN30974255,SAMN30974274,SAMN30974254,SAMN30974253,SAMN30974291,SAMN30974272,SAMN30974292,SAMN30974252,SAMN30974270,SAMN30974307,SAMN30974251,SAMN30974306,SAMN30974290,SAMN30974271,SAMN30974305
ASV110	SAMN30974251,SAMN30974253,SAMN30974290,SAMN30974254,SAMN30974252,SAMN30974305,SAMN30974273,SAMN30974271,SAMN30974306,SAMN30974255,SAMN30974270,SAMN30974291,SAMN30974274
ASV1100	SAMN30974307,SAMN30974255,SAMN30974292,SAMN30974291,SAMN30974306,SAMN30974274,SAMN30974273,SAMN30974254,SAMN30974251,SAMN30974270,SAMN30974253,SAMN30974252
ASV1102	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974272,SAMN30974255,SAMN30974270,SAMN30974271
ASV1103	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974254,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974273,SAMN30974255,SAMN30974274
