Sequence_ID	biosample_accession
ASV1205	SAMN30974272
ASV1206	SAMN30974254
ASV1207	SAMN30974254
ASV1209	SAMN30974255
ASV121	SAMN30974307
ASV1211	SAMN30974252
ASV1212	SAMN30974252
ASV1213	SAMN30974253
ASV1214	SAMN30974251
ASV1215	SAMN30974255
ASV1216	SAMN30974273
ASV1218	SAMN30974307
ASV1219	SAMN30974253
ASV122	SAMN30974272
ASV1220	SAMN30974254
ASV1221	SAMN30974305
ASV1222	SAMN30974254
ASV1223	SAMN30974255
ASV1226	SAMN30974254
ASV123	SAMN30974253
ASV1230	SAMN30974307
ASV1231	SAMN30974254
ASV1233	SAMN30974252
ASV1234	SAMN30974307
ASV1236	SAMN30974254
ASV1237	SAMN30974255
ASV1238	SAMN30974307
ASV124	SAMN30974253
ASV1240	SAMN30974253
ASV1241	SAMN30974253
ASV1242	SAMN30974251
ASV1243	SAMN30974272
ASV1244	SAMN30974255
ASV1246	SAMN30974253
ASV1247	SAMN30974254
ASV1248	SAMN30974253
ASV125	SAMN30974292
ASV1250	SAMN30974305
ASV1251	SAMN30974253
ASV1253	SAMN30974273
ASV1254	SAMN30974306
ASV1255	SAMN30974252
ASV1257	SAMN30974306
ASV1258	SAMN30974255
ASV126	SAMN30974251
ASV1263	SAMN30974292
ASV1264	SAMN30974255
ASV1265	SAMN30974307
ASV1266	SAMN30974252
ASV1267	SAMN30974255
ASV1269	SAMN30974253
ASV127	SAMN30974254
ASV1270	SAMN30974255
ASV1271	SAMN30974254
ASV1272	SAMN30974307
ASV1273	SAMN30974270
ASV1274	SAMN30974254
ASV1276	SAMN30974253
ASV1277	SAMN30974253
ASV1279	SAMN30974252
ASV128	SAMN30974251
ASV1280	SAMN30974307
ASV1282	SAMN30974272
ASV1283	SAMN30974252
ASV1286	SAMN30974255
ASV1287	SAMN30974251
ASV1289	SAMN30974255
ASV129	SAMN30974255
ASV1290	SAMN30974255
ASV1291	SAMN30974271
ASV1294	SAMN30974252
ASV1295	SAMN30974306
ASV1296	SAMN30974251
ASV1298	SAMN30974306
ASV1299	SAMN30974251
ASV13	SAMN30974253
ASV130	SAMN30974252
ASV1300	SAMN30974307
ASV1301	SAMN30974253
ASV1302	SAMN30974252
